Meadow,Site,Elevation,Species1,Species2,Schoener
i,6,702.2,Cerastium sp#,ZDensityHymenopteraTOTAL,0.256810589
n,5,1398.6,Crepis/Hieracium,ZDensityHymenopteraTOTAL,0.257201479
o,4,1576.2,Hieracium pilosella,ZDensityHymenopteraTOTAL,0.258416874
n,3,1407.7,Ononis spinosa,ZDensityHymenopteraTOTAL,0.258809936
a,3,949.8,Rosa sp#,ZDensityHymenopteraTOTAL,0.259637277
a,3,949.8,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.260601697
i,3,711.5,Rosa sp#,ZDensityHymenopteraTOTAL,0.261248186
a,5,1001,Trifolium campestre,ZDensityHymenopteraTOTAL,0.261894369
n,5,1398.6,Globularia nudicaulis,ZDensityHymenopteraTOTAL,0.262254357
n,5,1398.6,Trifolium pratense,ZDensityHymenopteraTOTAL,0.264933497
n,1,1390.3,Galium verum,ZDensityHymenopteraTOTAL,0.265832532
a,2,984.9,Anacamptis pyramidalis,ZDensityHymenopteraTOTAL,0.266756251
a,2,984.9,Rosa sp#,ZDensityHymenopteraTOTAL,0.266756251
n,3,1407.7,Arenaria/Linum ym#,ZDensityHymenopteraTOTAL,0.266806531
i,7,648.5,Cirsium arvense,ZDensityHymenopteraTOTAL,0.267011197
i,7,648.5,Silene vulgaris,ZDensityHymenopteraTOTAL,0.267011197
i,1,766.3,Geranium sanguineum?,ZDensityHymenopteraTOTAL,0.267197452
u,2,1749.2,Bellis perennis,ZDensityHymenopteraTOTAL,0.267971313
a,4,1002.8,Potentilla sp#,ZDensityHymenopteraTOTAL,0.269943794
i,6,702.2,Anthyllis vulneraria,ZDensityHymenopteraTOTAL,0.271788447
a,3,949.8,Geranium pusillum,ZDensityHymenopteraTOTAL,0.272140221
i,7,648.5,Medicago lupulina,ZDensityHymenopteraTOTAL,0.272753374
n,1,1390.3,Campanula glomerata,ZDensityHymenopteraTOTAL,0.273818849
n,1,1390.3,Teucrium chamaedris,ZDensityHymenopteraTOTAL,0.273818849
i,1,766.3,Aster amellus,ZDensityHymenopteraTOTAL,0.275159236
n,1,1390.3,Lathyrus pratensis,ZDensityHymenopteraTOTAL,0.275284704
n,3,1407.7,Tragopodon pratensis,ZDensityHymenopteraTOTAL,0.275779896
i,1,766.3,Galium sp#,ZDensityHymenopteraTOTAL,0.276535032
a,5,1001,Teurium montanum,ZDensityHymenopteraTOTAL,0.279319759
a,3,949.8,Galium sp#,ZDensityHymenopteraTOTAL,0.279614429
